question_id,type,difficulty,topic,question,option_a,option_b,option_c,option_d,correct_option,
412,Financial Technology,MCQ,Hard,Why is online banking considered secure?,Requires cash,Uses encryption and authentication,No verification,Slows transactions,B,
413,Stock Market,MCQ,Hard,Why is monitoring stock performance important?,To ignore market,To make informed decisions,To stop compounding,To reduce taxes,B,
414,Entrepreneurship,MCQ,Hard,What is the risk of launching multiple products at once?,Faster market entry,Resource strain and poor execution,Better branding,Higher revenue,B,
415,Retirement Planning,MCQ,Hard,How does starting retirement contributions early benefit an individual?,Lower interest,More time for compounding,Reduces taxes,Avoids expenses,B,
416,Bonds,MCQ,Hard,What is the main benefit of investing in government bonds?,High risk,Fixed returns and safety,Unlimited returns,Stop inflation,B,
417,Taxation,MCQ,Hard,Why is understanding tax rules important for individuals?,To avoid legal issues,To ignore payments,To reduce spending,To stop earning,A,
418,Credit Scores,MCQ,Hard,How does timely repayment of loans affect credit score?,Decreases score,Improves score,No effect,Stops growth,B,
419,Taxation,MCQ,Hard,What is the impact of not paying taxes on time?,Penalties and interest,Rewards,Increases income,Stops inflation,A,
420,Credit Scores,MCQ,Hard,Why is maintaining a good credit score important?,Easier borrowing at lower rates,Reduces income,Stops savings,Guarantees profits,A,
421,Risk Management,MCQ,Hard,How does insurance reduce financial uncertainty?,Guarantees profits,Transfers risk to insurer,Stops inflation,Increases income,B,
422,Interest,MCQ,Hard,How does starting investment early affect compound interest?,Rate decreases,Time allows interest to compound multiple times,Principal reduces,Inflation drops,B,
423,Inflation,MCQ,Hard,How does high inflation impact savings?,Value increases,Real value declines,No effect,Doubles,B,
424,Financial Technology,MCQ,Hard,How do fintech apps help track expenses?,Slow payments,Easy monitoring of spending,Require cash only,Increase paperwork,B,
425,Stock Market,MCQ,Hard,Why should investors diversify their portfolio?,Concentrates risk,Reduces sector-specific risk,Guarantees profit,Stops inflation,B,
426,Entrepreneurship,MCQ,Hard,What is the risk of expanding a business without planning resources?,Higher profits,Operational failure,Strong brand,Faster market entry,B,
427,Retirement Planning,MCQ,Hard,Why is early retirement saving important?,To spend all money,To accumulate funds for future,To ignore savings,To reduce taxes,B,
428,Bonds,MCQ,Hard,Why are corporate bonds riskier than government bonds?,Guaranteed return,Higher default risk,No risk,Stop inflation,B,
429,Taxation,MCQ,Hard,Why should individuals understand income tax laws?,To avoid penalties,To ignore payments,To increase spending,To stop earning,A,
430,Credit Scores,MCQ,Hard,How does timely repayment of debts affect credit score?,Decreases score,Improves score,No effect,Stops growth,B,
431,Risk Management,MCQ,Hard,How does risk assessment improve financial decisions?,Guarantees profit,Helps identify and mitigate risks,Stops inflation,Increases income,B,
432,Interest,MCQ,Hard,How does reinvesting interest help grow wealth?,Reduces returns,Compounding grows total returns,Stops growth,Lowers inflation,B,
433,Inflation,MCQ,Hard,How does inflation affect purchasing power if income is fixed?,Increases,Declines,No change,Doubles,B,
434,Financial Technology,MCQ,Hard,Why is mobile banking considered convenient?,Requires physical presence,Transactions can be done anytime,Only cash transactions allowed,Slows payments,B,
435,Stock Market,MCQ,Hard,Why is analyzing company fundamentals important?,To ignore market,To make informed decisions,To stop compounding,To reduce taxes,B,
436,Entrepreneurship,MCQ,Hard,What is the risk of launching a business without capital planning?,Higher revenue,Running out of funds,Strong brand,Faster market entry,B,
437,Retirement Planning,MCQ,Hard,How does starting retirement savings early benefit an individual?,Lower interest,More time for compounding,Reduces taxes,Avoids expenses,B,
438,Bonds,MCQ,Hard,What is the main advantage of investing in government bonds?,High risk,Fixed returns and safety,Unlimited returns,Stop inflation,B,
439,Taxation,MCQ,Hard,What is the consequence of not filing taxes on time?,Penalties and interest,Rewards,Increases income,Stops inflation,A,
440,Credit Scores,MCQ,Hard,Why is maintaining a good credit score important?,Easier borrowing at lower rates,Reduces income,Stops savings,Guarantees profits,A,
441,Risk Management,MCQ,Hard,How does diversification reduce financial risk?,Concentrates assets,Spreads investments,Stops interest,Reduces taxes,B,
442,Interest,MCQ,Hard,Why does starting investment early help grow wealth faster?,Principal reduces,Time allows interest to compound multiple times,Rate decreases,Inflation drops,B,
443,Inflation,MCQ,Hard,How does persistent inflation affect money saved in banks?,Value increases,Real value declines,No effect,Doubles,B,
444,Financial Technology,MCQ,Hard,How do digital wallets enhance payment security?,Sharing passwords,Using encrypted authentication,Ignoring alerts,Using weak networks,B,
445,Stock Market,MCQ,Hard,Why is it important to diversify stock investments?,Concentrates risk,Reduces sector-specific risk,Guarantees profit,Stops inflation,B,
446,Entrepreneurship,MCQ,Hard,What is the risk of expanding a business too fast?,Higher profits,Operational failure,Strong brand,Faster market entry,B,
447,Retirement Planning,MCQ,Hard,Why should retirement plans be reviewed regularly?,To increase spending,To adjust contributions and investments,To ignore savings,To reduce taxes,B,
448,Bonds,MCQ,Hard,Why should investors consider bond ratings before investing?,High risk is best,Ratings indicate credit quality,No risk,Stop inflation,B,
449,Taxation,MCQ,Hard,How can tax planning benefit individuals?,Avoid legal compliance,Optimize savings and reduce liabilities,Increase debt,Stop earning,B,
450,Credit Scores,MCQ,Hard,How does borrowing responsibly affect credit score?,Decreases score,Improves score,No effect,Stops growth,B,
451,Risk Management,MCQ,Hard,How does insurance reduce financial uncertainty?,Guarantees profits,Transfers risk to insurer,Stops inflation,Increases income,B,
452,Interest,MCQ,Hard,How does compound interest benefit long term investments?,Principal reduces,Interest reinvestment grows wealth,Rate decreases,Inflation drops,B,
453,Inflation,MCQ,Hard,How does persistent inflation affect savings?,Value increases,Real value declines,No effect,Doubles,B,
454,Financial Technology,MCQ,Hard,How do fintech apps help manage finances?,Slow payments,Track spending and payments easily,Require cash only,Increase paperwork,B,
455,Stock Market,MCQ,Hard,Why is diversifying stocks across sectors important?,Concentrates risk,Reduces sector-specific risk,Guarantees profit,Stops inflation,B,
456,Entrepreneurship,MCQ,Hard,What is the risk of expanding a business too fast without planning?,Higher revenue,Operational failure,Strong brand,Faster market entry,B,
457,Taxation,MCQ,Hard,Why should individuals understand tax laws?,To avoid penalties,To ignore payments,To increase spending,To stop earning,A,
458,Credit Scores,MCQ,Hard,How does timely repayment of loans affect credit score?,Decreases score,Improves score,No effect,Stops growth,B,
459,Mutual Funds,MCQ,Hard,Why is investing in mutual funds suitable for beginners?,High risk only,Professional management of pooled funds,Requires large capital,Guarantees profit,B,
460,Real Estate,MCQ,Hard,How can investing in real estate provide income?,Through rent and property appreciation,Only by selling property,By ignoring maintenance,Guarantees profit,A,
461,Risk Management,MCQ,Hard,How does diversification reduce financial risk?,Concentrates assets,Spreads investments across sectors,Stops interest,Reduces taxes,B,
462,Interest,MCQ,Hard,Why does reinvesting interest increase wealth over time?,Reduces returns,Compounding grows total returns,Stops growth,Lowers inflation,B,
463,Inflation,MCQ,Hard,How does inflation affect purchasing power?,Increases,Declines,No change,Doubles,B,
464,Financial Technology,MCQ,Hard,Why is mobile banking considered convenient?,Requires physical presence,Transactions can be done anytime,Only cash transactions allowed,Slows payments,B,
465,Stock Market,MCQ,Hard,Why is monitoring company fundamentals important?,To ignore market,To make informed decisions,To stop compounding,To reduce taxes,B,
466,Entrepreneurship,MCQ,Hard,What is the risk of launching a business without capital planning?,Higher revenue,Running out of funds,Strong brand,Faster market entry,B,
467,Taxation,MCQ,Hard,What is the consequence of not paying taxes on time?,Penalties and interest,Rewards,Increases income,Stops inflation,A,
468,Credit Scores,MCQ,Hard,Why is maintaining a good credit score important?,Easier borrowing at lower rates,Reduces income,Stops savings,Guarantees profits,A,
469,Mutual Funds,MCQ,Hard,How does investing in diversified mutual funds reduce risk?,Increases risk,Spreads investments across assets,Guarantees profits,Stops inflation,B,
470,Real Estate,MCQ,Hard,What is a key factor to consider before buying property?,Location and demand,Ignore maintenance,Only price matters,Guarantees profit,A,
471,Risk Management,MCQ,Hard,How does insurance protect against financial loss?,Guarantees profits,Transfers risk to insurer,Stops inflation,Increases income,B,
472,Interest,MCQ,Hard,Why is starting investment early beneficial?,Rate decreases,Compounding over time grows wealth,Principal reduces,Inflation drops,B,
473,Inflation,MCQ,Hard,How does inflation affect bank savings if rates are low?,Value increases,Real value declines,No effect,Doubles,B,
474,Financial Technology,MCQ,Hard,How do digital wallets improve payment security?,Sharing passwords,Using encrypted authentication,Ignoring alerts,Using weak networks,B,
475,Stock Market,MCQ,Hard,Why is diversification important in stock investing?,Concentrates risk,Reduces sector-specific risk,Guarantees profit,Stops inflation,B,
476,Entrepreneurship,MCQ,Hard,What is the risk of launching multiple products at once?,Faster market entry,Resource strain and poor execution,Better branding,Higher revenue,B,
477,Taxation,MCQ,Hard,How can tax planning benefit individuals?,Avoid legal compliance,Optimize savings and reduce liabilities,Increase debt,Stop earning,B,
478,Credit Scores,MCQ,Hard,How does borrowing responsibly affect credit score?,Decreases score,Improves score,No effect,Stops growth,B,
479,Mutual Funds,MCQ,Hard,Why should investors check the expense ratio of mutual funds?,High expense is better,Lower expense increases net returns,No effect,Guarantees profit,B,
480,Real Estate,MCQ,Hard,How does property appreciation benefit investors?,Rent only,Increases value of property over time,Ignore maintenance,Guarantees profit,B,
481,Risk Management,MCQ,Hard,How does risk assessment improve financial decisions?,Guarantees profit,Helps identify and mitigate risks,Stops inflation,Increases income,B,
482,Interest,MCQ,Hard,How does reinvesting interest help grow wealth faster?,Reduces returns,Compounding grows total returns,Stops growth,Lowers inflation,B,
483,Inflation,MCQ,Hard,How does high inflation affect purchasing power?,Increases,Declines,No change,Doubles,B,
484,Financial Technology,MCQ,Hard,How do fintech apps help track finances?,Slow payments,Monitor spending and payments easily,Require cash only,Increase paperwork,B,
485,Stock Market,MCQ,Hard,Why should investors monitor company financial reports?,To ignore market,To make informed decisions,To stop compounding,To reduce taxes,B,
486,Entrepreneurship,MCQ,Hard,What is the risk of expanding a business too fast?,Higher profits,Operational failure,Strong brand,Faster market entry,B,
487,Taxation,MCQ,Hard,Why should individuals file taxes on time?,To avoid penalties,To ignore rules,To increase spending,To stop earning,A,
488,Credit Scores,MCQ,Hard,How does paying debts timely affect credit score?,Decreases score,Improves score,No effect,Stops growth,B,
489,Mutual Funds,MCQ,Hard,How does diversification in mutual funds reduce risk?,Increases risk,Spreads investments across assets,Guarantees profits,Stops inflation,B,
490,Real Estate,MCQ,Hard,Why is location important when buying property?,Only price matters,Location and demand drive value,Ignore maintenance,Guarantees profit,B,
491,Risk Management,MCQ,Hard,How does insurance protect against losses?,Guarantees profits,Transfers risk to insurer,Stops inflation,Increases income,B,
492,Interest,MCQ,Hard,How does compound interest affect long term investments?,Principal reduces,Reinvested interest grows wealth,Rate decreases,Inflation drops,B,
493,Inflation,MCQ,Hard,How does inflation affect savers?,Value increases,Real value declines,No effect,Doubles,B,
494,Financial Technology,MCQ,Hard,Why is mobile banking considered secure?,Requires cash,Uses encryption and authentication,No verification,Slows transactions,B,
495,Stock Market,MCQ,Hard,Why is diversification important for investors?,Concentrates risk,Reduces sector-specific risk,Guarantees profit,Stops inflation,B,
496,Entrepreneurship,MCQ,Hard,What is the risk of launching a business without capital planning?,Higher revenue,Running out of funds,Strong brand,Faster market entry,B,
497,Taxation,MCQ,Hard,What happens if taxes are not paid on time?,Penalties and interest,Rewards,Increases income,Stops inflation,A,
498,Credit Scores,MCQ,Hard,Why is maintaining a good credit score important?,Easier borrowing at lower rates,Reduces income,Stops savings,Guarantees profits,A,
499,Mutual Funds,MCQ,Hard,Why should investors check fund performance regularly?,To ignore,To assess returns and risk,Stop compounding,No effect,B,
500,Real Estate,MCQ,Hard,How can property generate income for investors?,Only price increase,Rent and appreciation,Ignore maintenance,Guarantees profit,B,
501,Risk Management,MCQ,Hard,How does insurance reduce financial risk?,Guarantees profits,Transfers risk to insurer,Stops inflation,Increases income,B,
502,Interest,MCQ,Hard,How does starting investment early affect compound interest?,Rate decreases,Time allows interest to compound multiple times,Principal reduces,Inflation drops,B,
503,Inflation,MCQ,Hard,How does persistent inflation affect savings?,Value increases,Real value declines,No effect,Doubles,B,
504,Entrepreneurship,MCQ,Hard,What is the risk of expanding a business too fast without planning?,Higher revenue,Operational failure,Strong brand,Faster market entry,B,
505,Taxation,MCQ,Hard,Why is understanding tax laws important?,To avoid penalties,To ignore payments,To increase spending,To stop earning,A,
506,Credit Scores,MCQ,Hard,How does timely repayment of loans affect credit score?,Decreases score,Improves score,No effect,Stops growth,B,
507,Mutual Funds,MCQ,Hard,Why is investing in diversified mutual funds safer?,Increases risk,Spreads investments across assets,Guarantees profits,Stops inflation,B,
508,Real Estate,MCQ,Hard,How can investing in property generate income?,Only by selling,Rent and appreciation,Ignore maintenance,Guarantees profit,B,
509,Cryptocurrency,MCQ,Hard,Why is cryptocurrency considered high risk?,Guaranteed profit,High price volatility,Fixed returns,Inflation proof,B,
510,Peer-to-Peer Lending,MCQ,Hard,What is a main risk of peer-to-peer lending?,High liquidity,Borrower default,Guaranteed return,No paperwork,B,
511,Risk Management,MCQ,Hard,How does diversification reduce financial risk?,Concentrates assets,Spreads investments across sectors,Stops interest,Reduces taxes,B,
512,Interest,MCQ,Hard,Why does reinvesting interest increase total returns?,Reduces returns,Compounding grows wealth,Stops growth,Lowers inflation,B,
513,Inflation,MCQ,Hard,How does inflation impact purchasing power if income is fixed?,Increases,Declines,No change,Doubles,B,
514,Entrepreneurship,MCQ,Hard,What is the risk of launching multiple products without resources?,Faster market entry,Poor execution,Better branding,Higher revenue,B,
515,Taxation,MCQ,Hard,How can tax planning help individuals?,Avoid compliance,Optimize savings and reduce liabilities,Increase debt,Stop earning,B,
516,Credit Scores,MCQ,Hard,Why is maintaining a good credit score important?,Easier borrowing at lower rates,Reduces income,Stops savings,Guarantees profits,A,
517,Mutual Funds,MCQ,Hard,Why should investors check mutual fund expense ratios?,High expense is better,Lower expense increases net returns,No effect,Guarantees profit,B,
518,Real Estate,MCQ,Hard,What factor affects property value the most?,Location and demand,Ignore maintenance,Only price matters,Guarantees profit,A,
519,Cryptocurrency,MCQ,Hard,How should investors manage cryptocurrency risk?,Invest all funds,Diversify holdings and limit exposure,Ignore volatility,Use credit only,B,
520,Peer-to-Peer Lending,MCQ,Hard,How does borrower credit history affect P2P lending risk?,No effect,Better credit lowers default risk,Guarantees repayment,Stops lending,B,
521,Risk Management,MCQ,Hard,How does insurance protect against unexpected financial losses?,Guarantees profits,Transfers risk to insurer,Stops inflation,Increases income,B,
522,Interest,MCQ,Hard,How does starting investments early benefit wealth accumulation?,Rate decreases,Time allows compounding,Principal reduces,Inflation drops,B,
523,Inflation,MCQ,Hard,How does high inflation affect savings?,Value increases,Real value declines,No effect,Doubles,B,
524,Entrepreneurship,MCQ,Hard,Why should business expansion be carefully planned?,To increase profits,To avoid operational failure,Strong brand,Faster market entry,B,
525,Taxation,MCQ,Hard,What is the impact of not filing taxes on time?,Penalties and interest,Rewards,Increases income,Stops inflation,A,
526,Credit Scores,MCQ,Hard,How does timely repayment improve credit score?,Decreases score,Improves score,No effect,Stops growth,B,
527,Mutual Funds,MCQ,Hard,Why is fund diversification important?,Increases risk,Reduces investment risk,Guarantees profits,Stops inflation,B,
528,Real Estate,MCQ,Hard,How can real estate investment generate income?,Only price increase,Rent and appreciation,Ignore maintenance,Guarantees profit,B,
529,Cryptocurrency,MCQ,Hard,Why is cryptocurrency highly volatile?,Fixed value,Market speculation and demand swings,Guaranteed returns,Inflation proof,B,
530,Peer-to-Peer Lending,MCQ,Hard,What is the main advantage of P2P lending?,Borrowers default,Higher returns compared to banks,No risk,Guaranteed income,B,
531,Risk Management,MCQ,Hard,How does diversification protect investments?,Concentrates assets,Spreads investments across sectors,Stops interest,Reduces taxes,B,
532,Interest,MCQ,Hard,Why does reinvesting interest increase total wealth?,Reduces returns,Compounding grows total returns,Stops growth,Lowers inflation,B,
533,Inflation,MCQ,Hard,How does rising inflation affect purchasing power?,Increases,Declines,No change,Doubles,B,
534,Entrepreneurship,MCQ,Hard,What is the risk of launching a business without planning capital?,Higher revenue,Running out of funds,Strong brand,Faster market entry,B,
535,Taxation,MCQ,Hard,How can understanding tax rules benefit individuals?,Avoid compliance,Optimize savings and reduce liabilities,Increase debt,Stop earning,B,
536,Credit Scores,MCQ,Hard,Why should credit scores be monitored regularly?,Easier borrowing,To maintain good financial reputation,Stop savings,Guarantees profit,B,
537,Mutual Funds,MCQ,Hard,How can mutual fund investors reduce risk?,Concentrate investments,Diversify across sectors and assets,Stop compounding,Guarantees profit,B,
538,Real Estate,MCQ,Hard,Why is property location important?,Only price matters,Location and demand drive value,Ignore maintenance,Guarantees profit,B,
539,Cryptocurrency,MCQ,Hard,How should investors protect against crypto losses?,Invest all funds,Diversify holdings and limit exposure,Ignore volatility,Use credit only,B,
540,Peer-to-Peer Lending,MCQ,Hard,How does borrower risk affect returns in P2P lending?,No effect,Higher default reduces returns,Guarantees repayment,Stops lending,B,
541,Risk Management,MCQ,Hard,How does insurance reduce unexpected financial loss?,Guarantees profits,Transfers risk to insurer,Stops inflation,Increases income,B,
542,Interest,MCQ,Hard,Why is starting investments early advantageous?,Rate decreases,Compounding grows wealth over time,Principal reduces,Inflation drops,B,
543,Inflation,MCQ,Hard,How does persistent inflation affect bank savings?,Value increases,Real value declines,No effect,Doubles,B,
544,Entrepreneurship,MCQ,Hard,Why must business expansion be carefully planned?,To increase profits,To avoid operational failure,Strong brand,Faster market entry,B,
545,Taxation,MCQ,Hard,How can tax planning optimize finances?,Avoid legal compliance,Reduce liabilities and optimize savings,Increase debt,Stop earning,B,
546,Credit Scores,MCQ,Hard,How does paying debts timely impact credit score?,Decreases score,Improves score,No effect,Stops growth,B,
547,Mutual Funds,MCQ,Hard,Why is fund performance monitoring important?,Ignore performance,To assess returns and risk,Stop compounding,No effect,B,
548,Real Estate,MCQ,Hard,How can property investment provide income?,Only price increase,Rent and appreciation,Ignore maintenance,Guarantees profit,B,
549,Cryptocurrency,MCQ,Hard,Why is crypto considered high risk?,Guaranteed profit,High volatility,Fixed returns,Inflation proof,B,
550,Peer-to-Peer Lending,MCQ,Hard,What is the main advantage of P2P lending?,Borrowers default,Higher returns than banks,No risk,Guaranteed income,B,
551,Risk Management,MCQ,Hard,How does insurance reduce financial risk?,Guarantees profits,Transfers risk to insurer,Stops inflation,Increases income,B,
552,Interest,MCQ,Hard,How does starting investment early help wealth growth?,Rate decreases,Time allows compounding,Principal reduces,Inflation drops,B,
553,Inflation,MCQ,Hard,How does high inflation affect bank savings?,Value increases,Real value declines,No effect,Doubles,B,
554,Entrepreneurship,MCQ,Hard,What is the risk of expanding business too fast?,Higher revenue,Operational failure,Strong brand,Faster market entry,B,
555,Taxation,MCQ,Hard,Why is understanding tax laws important?,To avoid penalties,To ignore payments,To increase spending,To stop earning,A,
556,Credit Scores,MCQ,Hard,How does timely repayment of loans affect credit score?,Decreases score,Improves score,No effect,Stops growth,B,
557,Mutual Funds,MCQ,Hard,Why is investing in diversified mutual funds safer?,Increases risk,Spreads investments across assets,Guarantees profits,Stops inflation,B,
558,Real Estate,MCQ,Hard,How can property generate income?,Only by selling,Rent and appreciation,Ignore maintenance,Guarantees profit,B,
559,Commodities,MCQ,Hard,Why do investors trade commodities?,Fixed returns,Hedge against inflation and diversify,No risk,Guaranteed profit,B,
560,ETFs,MCQ,Hard,Why are ETFs popular among investors?,Require large capital,Diversified and traded like stocks,No liquidity,Guarantees profit,B,
561,Risk Management,MCQ,Hard,How does diversification reduce financial risk?,Concentrates assets,Spreads investments across sectors,Stops interest,Reduces taxes,B,
562,Interest,MCQ,Hard,Why does reinvesting interest increase total returns?,Reduces returns,Compounding grows wealth,Stops growth,Lowers inflation,B,
563,Inflation,MCQ,Hard,How does inflation impact purchasing power if income is fixed?,Increases,Declines,No change,Doubles,B,
564,Entrepreneurship,MCQ,Hard,What is the risk of launching multiple products at once?,Faster market entry,Poor execution,Better branding,Higher revenue,B,
565,Taxation,MCQ,Hard,How can tax planning help individuals?,Avoid compliance,Optimize savings and reduce liabilities,Increase debt,Stop earning,B,
566,Credit Scores,MCQ,Hard,Why is maintaining a good credit score important?,Easier borrowing at lower rates,Reduces income,Stops savings,Guarantees profits,A,
567,Mutual Funds,MCQ,Hard,Why should investors check mutual fund expense ratios?,High expense is better,Lower expense increases net returns,No effect,Guarantees profit,B,
568,Real Estate,MCQ,Hard,What factor affects property value the most?,Location and demand,Ignore maintenance,Only price matters,Guarantees profit,A,
569,Commodities,MCQ,Hard,How does investing in gold protect against inflation?,Fixed losses,Value rises during inflation,No effect,Guarantees profit,B,
570,ETFs,MCQ,Hard,How does an ETF differ from a mutual fund?,Not traded,Traded like stock and diversifies,Requires more capital,Guarantees profit,B,
571,Risk Management,MCQ,Hard,How does insurance protect against unexpected losses?,Guarantees profits,Transfers risk to insurer,Stops inflation,Increases income,B,
572,Interest,MCQ,Hard,How does starting investments early benefit wealth?,Rate decreases,Time allows compounding,Principal reduces,Inflation drops,B,
573,Inflation,MCQ,Hard,How does persistent inflation affect savings?,Value increases,Real value declines,No effect,Doubles,B,
574,Entrepreneurship,MCQ,Hard,Why must business expansion be carefully planned?,To increase profits,To avoid operational failure,Strong brand,Faster market entry,B,
575,Taxation,MCQ,Hard,How can tax planning optimize finances?,Avoid compliance,Reduce liabilities and optimize savings,Increase debt,Stop earning,B,
576,Credit Scores,MCQ,Hard,How does paying debts timely impact credit score?,Decreases score,Improves score,No effect,Stops growth,B,
577,Mutual Funds,MCQ,Hard,Why is fund performance monitoring important?,Ignore performance,To assess returns and risk,Stop compounding,No effect,B,
578,Real Estate,MCQ,Hard,How can property investment provide income?,Only price increase,Rent and appreciation,Ignore maintenance,Guarantees profit,B,
579,Commodities,MCQ,Hard,Why is oil trading considered volatile?,Stable prices,Market fluctuations and demand supply,Guaranteed returns,Fixed value,B,
580,ETFs,MCQ,Hard,How does ETF diversification reduce investment risk?,Increases risk,Spreads across sectors,Guarantees profit,Stops inflation,B,
581,Risk Management,MCQ,Hard,How does diversification protect investments?,Concentrates assets,Spreads investments across sectors,Stops interest,Reduces taxes,B,
582,Interest,MCQ,Hard,Why does reinvesting interest grow wealth faster?,Reduces returns,Compounding grows total returns,Stops growth,Lowers inflation,B,
583,Inflation,MCQ,Hard,How does rising inflation affect purchasing power?,Increases,Declines,No change,Doubles,B,
584,Entrepreneurship,MCQ,Hard,What is the risk of launching a business without capital?,Higher revenue,Running out of funds,Strong brand,Faster market entry,B,
585,Taxation,MCQ,Hard,Why should individuals file taxes on time?,To avoid penalties,To ignore rules,To increase spending,To stop earning,A,
586,Credit Scores,MCQ,Hard,How does borrowing responsibly affect credit score?,Decreases score,Improves score,No effect,Stops growth,B,
587,Mutual Funds,MCQ,Hard,How does diversification reduce mutual fund risk?,Concentrate investments,Spread across sectors,Guarantees profit,Stop inflation,B,
588,Real Estate,MCQ,Hard,Why is location important when buying property?,Only price matters,Location and demand drive value,Ignore maintenance,Guarantees profit,B,
589,Commodities,MCQ,Hard,How does commodity trading provide hedging?,No effect,Protects against price fluctuations,Guarantees profit,Fixed returns,B,
590,ETFs,MCQ,Hard,Why are ETFs liquid investment options?,Cannot trade daily,Traded on exchange anytime,Only large investors,Guaranteed profit,B,
591,Risk Management,MCQ,Hard,How does insurance reduce unexpected losses?,Guarantees profits,Transfers risk to insurer,Stops inflation,Increases income,B,
592,Interest,MCQ,Hard,How does starting investments early benefit growth?,Rate decreases,Time allows compounding,Principal reduces,Inflation drops,B,
593,Inflation,MCQ,Hard,How does inflation affect bank savings?,Value increases,Real value declines,No effect,Doubles,B,
594,Entrepreneurship,MCQ,Hard,What is the risk of expanding a business too fast?,Higher revenue,Operational failure,Strong brand,Faster market entry,B,
595,Taxation,MCQ,Hard,How can tax planning help individuals?,Avoid compliance,Optimize savings and reduce liabilities,Increase debt,Stop earning,B,
596,Credit Scores,MCQ,Hard,How does timely repayment affect credit score?,Decreases score,Improves score,No effect,Stops growth,B,
597,Mutual Funds,MCQ,Hard,Why monitor mutual fund performance regularly?,Ignore,To assess returns and risk,Stop compounding,No effect,B,
598,Real Estate,MCQ,Hard,How can property investment generate income?,Only price increase,Rent and appreciation,Ignore maintenance,Guarantees profit,B,
599,Commodities,MCQ,Hard,Why is gold a preferred hedge against inflation?,Fixed losses,Value rises during inflation,No effect,Guarantees profit,B,
600,ETFs,MCQ,Hard,How does ETF investment provide diversification?,Concentrates risk,Spreads across sectors,Guarantees profit,Stops inflation,B,
601,Risk Management,True/False,Hard,Insurance helps reduce financial losses from unexpected events.,TRUE,FALSE,,,A,
602,Interest,True/False,Hard,Compound interest grows faster than simple interest over time.,TRUE,FALSE,,,A,
603,Inflation,True/False,Hard,Inflation reduces the purchasing power of money over time.,TRUE,FALSE,,,A,
604,Entrepreneurship,True/False,Hard,Expanding a business without planning increases operational risk.,TRUE,FALSE,,,A,
605,Taxation,True/False,Hard,Understanding tax laws helps avoid penalties and optimize savings.,TRUE,FALSE,,,A,
606,Credit Scores,True/False,Hard,Timely repayment of loans improves your credit score.,TRUE,FALSE,,,A,
607,Commodities,True/False,Hard,Trading commodities like gold and oil can protect against inflation.,TRUE,FALSE,,,A,
608,ETFs,True/False,Hard,ETFs are traded like stocks and offer diversification.,TRUE,FALSE,,,A,
609,Budgeting,True/False,Hard,Creating a budget helps control spending and save money.,TRUE,FALSE,,,A,
610,Digital Payments,True/False,Hard,Using public Wi-Fi for digital payments is safe.,TRUE,FALSE,,,B,
611,Risk Management,True/False,Hard,Diversification helps reduce financial risk.,TRUE,FALSE,,,A,
612,Interest,True/False,Hard,Reinvesting interest can grow wealth faster.,TRUE,FALSE,,,A,
613,Inflation,True/False,Hard,High inflation can reduce the real value of savings.,TRUE,FALSE,,,A,
614,Entrepreneurship,True/False,Hard,Launching multiple products without resources increases failure risk.,TRUE,FALSE,,,A,
615,Taxation,True/False,Hard,Filing taxes on time avoids penalties and interest charges.,TRUE,FALSE,,,A,
616,Credit Scores,True/False,Hard,Ignoring your credit score has no effect on future loans.,TRUE,FALSE,,,B,
617,Commodities,True/False,Hard,Commodity prices are always stable.,TRUE,FALSE,,,B,
618,ETFs,True/False,Hard,ETFs can be bought and sold anytime during market hours.,TRUE,FALSE,,,A,
619,Budgeting,True/False,Hard,Tracking expenses helps identify unnecessary spending.,TRUE,FALSE,,,A,
620,Digital Payments,True/False,Hard,Sharing your OTP with friends is safe.,TRUE,FALSE,,,B,
621,Risk Management,True/False,Hard,Insurance policies can transfer financial risk from individuals to insurers.,TRUE,FALSE,,,A,
622,Interest,True/False,Hard,Compound interest is calculated only on the principal.,TRUE,FALSE,,,B,
623,Inflation,True/False,Hard,Inflation can decrease money’s purchasing power over time.,TRUE,FALSE,,,A,
624,Entrepreneurship,True/False,Hard,Poor financial planning can increase the risk of business failure.,TRUE,FALSE,,,A,
625,Taxation,True/False,Hard,Understanding tax laws allows individuals to reduce liabilities legally.,TRUE,FALSE,,,A,
626,Credit Scores,True/False,Hard,Late payments can negatively affect credit scores.,TRUE,FALSE,,,A,
627,Commodities,True/False,Hard,Investing in commodities can be used for hedging against price risks.,TRUE,FALSE,,,A,
628,ETFs,True/False,Hard,ETFs are mutual funds that cannot be traded on exchanges.,TRUE,FALSE,,,B,
629,Budgeting,True/False,Hard,A budget helps plan spending according to income and goals.,TRUE,FALSE,,,A,
630,Digital Payments,True/False,Hard,Using secure apps for payments reduces fraud risk.,TRUE,FALSE,,,A,
631,Risk Management,True/False,Hard,Spreading investments across assets reduces financial risk.,TRUE,FALSE,,,A,
632,Interest,True/False,Hard,Early investment allows compound interest to grow over a longer time.,TRUE,FALSE,,,A,
633,Inflation,True/False,Hard,Inflation has no impact on fixed-income savings.,TRUE,FALSE,,,B,
634,Entrepreneurship,True/False,Hard,Expanding business without sufficient resources increases failure risk.,TRUE,FALSE,,,A,
635,Taxation,True/False,Hard,Filing taxes late can result in penalties and interest.,TRUE,FALSE,,,A,
